"Observed 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Ritz 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Rel. 
 Int. 
(?)","Aki
 (s−1)",Acc.,"Ei 
 (cm−1)",,"Ek 
 (cm−1)","Lower Level 
 Conf., Term, J",,,"Upper Level 
 Conf., Term, J",,,Type,"TP
Ref.","Line
Ref."
373.4369,0.0006,373.43746,0.0002,6000,1.89E+04,AAA,82 259.158,-,[109 029.7913],2,,,13,,,,T8637,L7436c29
,,375.0124905,0.0000021,,4.87E+05,AAA,82 258.9191133,-,108 917.1203787,2p,2P°,1/2,12d,2D,3/2,,T7771,
,,375.0125118,0.0000022,,2.98E+04,AAA,82 258.9191133,-,[108 917.11886],2p,2P°,1/2,12s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,375.01275,0.00008,,,,,,,,,,,,,,,c39
375.0129789,0.0000021,375.0129789,0.0000021,,,,82 258.9543992821,-,108 917.12094342,2s,2S,1/2,12d,2D,5/2,E2,,L11759
,,375.0129867,0.0000022,,3.55E+05,AAA,82 258.9543992821,-,[108 917.12039],2s,2S,1/2,12p,2P°,3/2,,T7771,
375.0129869,0.0000021,375.0129869,0.0000021,,,,82 258.9543992821,-,108 917.1203787,2s,2S,1/2,12d,2D,3/2,E2,,L11759
,,375.0130082,0.0000022,,,,82 258.9543992821,-,[108 917.11886],2s,2S,1/2,12s,2S,1/2,M1,,
,,,,,,,,,,,,,,,,,,
,,375.0130105,0.0000022,,3.55E+05,AAA,82 258.9543992821,-,[108 917.11870],2s,2S,1/2,12p,2P°,1/2,,T7771,
375.0151,0.0006,375.01584,0.0002,8000,2.83E+04,AAA,82 259.158,-,108 917.1209,2,,,12,,,,T8637,L7436c29
,,375.01515,0.00008,,,,,,,,,,,,,,,c40
,,375.0176298,0.0000021,,5.85E+05,AAA,82 259.2850014,-,108 917.12094342,2p,2P°,3/2,12d,2D,5/2,,T7771,
,,375.01763,0.00003,,,,,,,,,,,,,,,c41
,,,,,,,,,,,,,,,,,,
,,375.0176378,0.0000021,,9.75E+04,AAA,82 259.2850014,-,108 917.1203787,2p,2P°,3/2,12d,2D,3/2,,T7771,
,,375.0176591,0.0000022,,5.97E+04,AAA,82 259.2850014,-,[108 917.11886],2p,2P°,3/2,12s,2S,1/2,,T7771,
,,377.060301,0.0000021,,6.37E+05,AAA,82 258.9191133,-,[108 772.343536],2p,2P°,1/2,11d,2D,3/2,,T7771,
,,377.060329,0.0000022,,3.88E+04,AAA,82 258.9191133,-,[108 772.34157],2p,2P°,1/2,11s,2S,1/2,,T7771,
,,377.06056,0.00009,,,,,,,,,,,,,,,c42
,,,,,,,,,,,,,,,,,,
,,377.0608027,0.0000022,,4.62E+05,AAA,82 258.9543992821,-,[108 772.34355],2s,2S,1/2,11p,2P°,3/2,,T7771,
,,377.0608308,0.0000022,,,,82 258.9543992821,-,[108 772.34157],2s,2S,1/2,11s,2S,1/2,M1,,
,,377.060834,0.0000022,,4.62E+05,AAA,82 258.9543992821,-,[108 772.34135],2s,2S,1/2,11p,2P°,1/2,,T7771,
,,377.063,0.00009,,,,,,,,,,,,,,,c43
377.0633,0.0006,377.06368,0.0002,9000,4.40E+04,AAA,82 259.158,-,108 772.3445,2,,,11,,,,T8637,L7436c29
,,,,,,,,,,,,,,,,,,
,,377.0654943,0.0000021,,7.64E+05,AAA,82 259.2850014,-,[108 772.344270],2p,2P°,3/2,11d,2D,5/2,,T7771,
,,377.0655,0.00003,,,,,,,,,,,,,,,c44
,,377.0655047,0.0000021,,1.27E+05,AAA,82 259.2850014,-,[108 772.343536],2p,2P°,3/2,11d,2D,3/2,,T7771,
,,377.0655327,0.0000022,,7.76E+04,AAA,82 259.2850014,-,[108 772.34157],2p,2P°,3/2,11s,2S,1/2,,T7771,
,,379.7870048,0.0000021,,8.54E+05,AAA,82 258.9191133,-,[108 581.9934250],2p,2P°,1/2,10d,2D,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,379.7870427,0.0000022,,5.17E+04,AAA,82 258.9191133,-,[108 581.99080],2p,2P°,1/2,10s,2S,1/2,,T7771,
,,379.78727,0.00009,,,,,,,,,,,,,,,c45
379.7874999,0.0000021,379.7874999,0.0000021,,,,82 258.9543992821,-,108 581.9944009,2s,2S,1/2,10d,2D,5/2,E2,,L7369u33
,,379.7875137,0.0000022,,6.15E+05,AAA,82 258.9543992821,-,[108 581.99344],2s,2S,1/2,10p,2P°,3/2,,T7771,
,,379.7875518,0.0000022,,,,82 258.9543992821,-,[108 581.99080],2s,2S,1/2,10s,2S,1/2,M1,,
,,,,,,,,,,,,,,,,,,
,,379.787556,0.0000022,,6.15E+05,AAA,82 258.9543992821,-,[108 581.99051],2s,2S,1/2,10p,2P°,1/2,,T7771,
,,379.78974,0.00009,,,,,,,,,,,,,,,c46
379.7909,0.0006,379.79044,0.0002,17000,7.12E+04,AAA,82 259.158,-,108 581.9945,2,,,10,,,,T8637,L7436c29
,,379.7922699,0.0000021,,1.02E+06,AAA,82 259.2850014,-,108 581.9944009,2p,2P°,3/2,10d,2D,5/2,,T7771,
,,379.79227,0.00003,,,,,,,,,,,,,,,c47
,,,,,,,,,,,,,,,,,,
,,379.792284,0.0000021,,1.71E+05,AAA,82 259.2850014,-,[108 581.9934250],2p,2P°,3/2,10d,2D,3/2,,T7771,
,,379.7923219,0.0000022,,1.04E+05,AAA,82 259.2850014,-,[108 581.99080],2p,2P°,3/2,10s,2S,1/2,,T7771,
,,383.5355892,0.0000022,,1.18E+06,AAA,82 258.9191133,-,[108 324.724162],2p,2P°,1/2,9d,2D,3/2,,T7771,
,,383.5356424,0.0000022,,7.12E+04,AAA,82 258.9191133,-,[108 324.72055],2p,2P°,1/2,9s,2S,1/2,,T7771,
,,383.53587,0.00009,,,,,,,,,,,,,,,c48
,,,,,,,,,,,,,,,,,,
,,383.5361082,0.0000022,,8.44E+05,AAA,82 258.9543992821,-,[108 324.72418],2s,2S,1/2,9p,2P°,3/2,,T7771,
,,383.5361616,0.0000022,,,,82 258.9543992821,-,[108 324.72055],2s,2S,1/2,9s,2S,1/2,M1,,
